appointment_id,date,scheduled_time,carrier_id,carrier_name,dock_door,destination_zone,shipment_size,pallet_count,expected_duration_mins,po_number,priority
APT-000001,2026-02-01,2026-02-01 21:45,CAR-020,Titan Transport,9,C,large,39,82,PO-428027,standard
APT-000002,2026-02-01,2026-02-01 06:30,CAR-018,Ridgeline Shipping,10,B,small,2,30,PO-802080,standard
APT-000003,2026-02-01,2026-02-01 11:45,CAR-030,Drift Logistics,8,B,medium,19,39,PO-652183,hot
APT-000004,2026-02-01,2026-02-01 18:15,CAR-023,Western Freight,3,C,medium,22,37,PO-310665,expedited
APT-000005,2026-02-01,2026-02-01 10:30,CAR-013,Meridian Movers,2,D,large,42,90,PO-812159,expedited
APT-000006,2026-02-01,2026-02-01 09:00,CAR-028,Beacon Express,1,C,large,45,96,PO-904086,hot
APT-000007,2026-02-02,2026-02-02 21:45,CAR-023,Western Freight,9,B,small,2,27,PO-145124,hot
APT-000008,2026-02-02,2026-02-02 07:45,CAR-022,Vanguard Carriers,9,C,large,43,84,PO-619859,standard
APT-000009,2026-02-02,2026-02-02 06:00,CAR-015,Omega Transport,7,B,large,52,100,PO-996310,standard
APT-000010,2026-02-02,2026-02-02 09:30,CAR-029,Crest Transport,8,B,medium,18,46,PO-973017,standard
APT-000011,2026-02-02,2026-02-02 12:30,CAR-005,Eastern Express,4,D,large,37,83,PO-751087,standard
APT-000012,2026-02-02,2026-02-02 13:00,CAR-028,Beacon Express,8,D,medium,11,56,PO-261034,standard
APT-000013,2026-02-02,2026-02-02 11:45,CAR-017,Quantum Freight,5,B,small,6,37,PO-401353,standard
APT-000014,2026-02-02,2026-02-02 13:00,CAR-021,UnionLine Co,5,A,large,43,86,PO-744836,standard
APT-000015,2026-02-02,2026-02-02 11:45,CAR-030,Drift Logistics,7,B,small,3,39,PO-704987,standard
APT-000016,2026-02-02,2026-02-02 15:15,CAR-003,Coastal Transit Co,6,D,medium,21,45,PO-219784,standard
APT-000017,2026-02-02,2026-02-02 13:30,CAR-013,Meridian Movers,5,C,large,27,81,PO-717646,expedited
APT-000018,2026-02-02,2026-02-02 13:00,CAR-015,Omega Transport,6,B,small,5,37,PO-213322,expedited
APT-000019,2026-02-02,2026-02-02 10:15,CAR-018,Ridgeline Shipping,8,A,medium,13,52,PO-747142,standard
APT-000020,2026-02-02,2026-02-02 13:00,CAR-018,Ridgeline Shipping,10,A,small,7,28,PO-620045,expedited
APT-000021,2026-02-02,2026-02-02 07:30,CAR-027,Atlas Logistics,10,C,small,1,22,PO-242881,standard
APT-000022,2026-02-02,2026-02-02 10:30,CAR-018,Ridgeline Shipping,10,D,large,31,76,PO-783053,expedited
APT-000023,2026-02-02,2026-02-02 09:15,CAR-005,Eastern Express,6,B,large,34,81,PO-808127,hot
